"","Series Category","Season Frequency","Model Fitted","Series Used","Model MASE","Forecast MASE","Shapiro-Wilks","Ljung-Box","AIC","AICc","BIC","Non-Normal Std Residuals","Correlated Std Residuals"
"91","DEMOGRAPHIC ",12,"ETS(A,Ad,N)","Seasonal Difference",0.101714512119397,1.15717679188737,0.130800324216909,0.975190162785291,878.444724971746,880.159010686032,890.596835116157,0,0
"92","DEMOGRAPHIC ",12,"ETS(A,Ad,N)","Seasonal Difference",0.157817284797951,8.85380137017934,6.7179845739705e-07,0.837112297179771,1880.52830374023,1881.32075657042,1896.89263065251,1,0
"93","DEMOGRAPHIC ",12,"Holt's method","Seasonal Difference",0.127095062791768,13.0663079563422,0.0986880128586885,0.77403408198423,1778.41903663198,1778.97978429553,1792.05597572554,0,0
"94","DEMOGRAPHIC ",12,"ETS(A,N,N)","Seasonal Difference",0.129823793778717,1.69624452998549,1.00682031749409e-12,0.348512514913572,1888.16133914985,1888.38152263609,1896.34350260599,1,0
"95","DEMOGRAPHIC ",12,"ETS(A,N,N)","Seasonal Difference",0.0966462507361914,2.00501511690031,0.0902497059841692,0.10809312707681,1699.3796869531,1699.59987043934,1707.56185040924,0,0
"96","DEMOGRAPHIC ",12,"ETS(A,Ad,A)","Seasonal Difference",0.532208414823698,0.890696866246726,0.14548121902657,0.697764825131766,1211.08180824698,1222.48180824698,1253.73186959139,0,0
"97","DEMOGRAPHIC ",12,"ETS(A,Ad,A)","Original",0.108715204124834,1.03624856297286,0.208669945100781,0.946723429795829,1327.13567320125,1333.24281605839,1378.88922501887,0,0
"98","DEMOGRAPHIC ",12,"ETS(A,A,A)","Original",0.0967233514115332,1.76455111197705,0.171536979977048,0.789990849266407,1344.15632444242,1349.57225364596,1393.03467893684,0,0
"99","DEMOGRAPHIC ",12,"ETS(A,A,N)","Original",0.175436733694119,0.536505394672079,0.388013222570254,0.894897336117265,1991.54219859794,1992.02219859794,2005.91818521395,0,0
"100","DEMOGRAPHIC ",12,"ETS(A,A,A)","Original",0.0357977271321627,1.24453365112564,0.076198291938747,0.899446051388116,1110.72654684291,1116.14247604645,1159.60490133733,0,0
"101","DEMOGRAPHIC ",12,"ETS(M,Md,M)","Box-Cox",0.0562265464812034,0.740464107750624,0.349605203896209,0.613196393639768,1175.91469288745,1182.0218357446,1227.66824470507,0,0
"102","MICRO       ",4,"ETS(M,Ad,N)","Seasonal Difference",0.447029802591058,0.431803748343744,0.0888683352445079,0.705252164659539,574.653402645818,577.363080065173,584.478919604177,0,0
"103","MICRO       ",4,"ETS(M,A,A)","Box-Cox",0.162126567537394,8.26292031426626,0.892623263159727,0.625090071153175,-15.1522236128666,-9.52722361286661,0.486802951683707,0,0
"104","MICRO       ",4,"ETS(M,Md,M)","Seasonal Difference",0.61621346373812,0.656803338701416,0.061901269724864,0.134497363684821,598.854355708284,606.440562604835,615.743150249423,0,0
"105","MICRO       ",4,"ETS(M,N,A)","Seasonal Difference",0.583108790612953,0.671453091728372,0.0972909156254024,0.772862119062082,615.587165364347,619.320498697681,627.050268482432,0,0
"106","MICRO       ",4,"ETS(A,Ad,A)","Original",0.141651269641934,0.655291938103463,0.06014821290483,0.79658467102429,562.513107828856,569.609882022405,579.88980401169,0,0
"107","MICRO       ",4,"ETS(M,N,M)","Seasonal Difference",1.1046365912838,4073.88134970932,0.0503789135424192,0.74958219135086,660.179839678095,663.913173011428,671.642942796179,0,0
"108","MICRO       ",4,"ETS(A,N,A)","Original",0.426859533798899,0.412243202087038,0.0567401164583855,0.91663366982806,711.677562582168,714.971680229227,723.841249910151,0,0
"109","MICRO       ",4,"Damped Holt-Winters' multiplicative method with exponential trend","Original",0.583792557228022,0.388382159509127,0.173393651001738,0.417476193945978,713.863575039951,720.738575039951,731.475576196887,0,0
"110","MICRO       ",4,"ETS(M,Md,N)","Seasonal Difference",0.516205592473904,0.743760490857349,0.0556841468327306,0.552134296009926,654.32043462489,657.030112044245,664.145951583248,0,0
"111","MICRO       ",4,"ETS(A,Ad,N)","Seasonal Difference",0.584200260229332,1.66208022483545,0.969913913743956,0.473885172608589,749.280961294587,751.826415840042,759.414238019271,0,0
"112","MICRO       ",4,"ETS(A,Ad,N)","1st Difference",0.954173576618578,0.938568190712567,0.0664714807337618,0.573371351664318,702.661464069874,705.132052305168,712.9428964701,0,0
"113","MICRO       ",4,"ETS(M,N,M)","Seasonal Difference",0.692846862139261,2.52136278987431,0.145789831481864,0.064739206811296,753.295880333667,757.029213667,764.758983451752,0,0
"114","MICRO       ",4,"ETS(A,Ad,A)","Seasonal Difference",0.520806375930602,2.57487372624718,0.0621308319921123,0.924703815515543,673.850988076455,682.312526537993,689.960167202897,0,0
"115","MICRO       ",4,"ETS(A,A,N)","Box-Cox",0.67388320497229,0.454695343262642,0.0824443119371502,0.554198521315782,-589.622874711864,-587.908588997579,-581.055014378343,0,0
"116","MICRO       ",4,"ETS(A,Ad,A)","Seasonal Difference",0.631465560811212,2.11980015748289,0.170950080624813,0.572753826088424,663.010299133991,670.867441991133,679.645915595287,0,0
